Date,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Commentaire annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Commentaire retards au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Commentaire retards à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Year,Month
2018-01-01,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,141.0,870,5,,289,11.24780854,3.693179191,,147,28.43673469,6.511117534,,110,6.51,44,8,36.13445378,31.09243697,10.92436975,15.96638655,,0.840336134,2018.0,1.0
2018-01-01,National,LE MANS,PARIS MONTPARNASSE,56.0,406,1,,213,8.479968701,4.567119342,,105,18.049,5.363539095,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)
Le 17 : Présence d’une personne dans les voies à Ste Luce (11 TGV ; 212mn)
Le 26 : Heurt d’une personne au niveau de Tiercé (44 TGV ; 1578mn)",32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333,2018.0,1.0
2018-01-01,National,PARIS MONTPARNASSE,LA ROCHELLE VILLE,166.0,226,0,,21,6.23968254,0.286283186,,19,24.73684211,2.938053097,,11,2.938053097,6,1,22.22222222,27.77777778,16.66666667,16.66666667,5.555555556,11.11111111,2018.0,1.0
2018-01-01,National,PARIS MONTPARNASSE,NANTES,216.21,508,3,,71,7.235211268,0.98,,58,33.72643678,5.292211221,,39,5.292211221,18,,33.33333333,22.22222222,16.66666667,20.37037037,5.555555556,1.851851852,2018.0,1.0
2018-01-01,National,POITIERS,PARIS MONTPARNASSE,94.0,472,4,,224,6.784672619,3.229700855,,89,14.59269663,4.882371795,,42,4.882371795,10,0,15.78947368,45.61403509,,15.78947368,1.754385965,1.754385965,2018.0,1.0
2018-01-01,National,ST MALO,PARIS MONTPARNASSE,158.0,92,0,,2,1.225,0.0625,,10,24.975,4.81576087,,6,4.763978495,3,1,22.22222222,66.66666667,0.0,11.11111111,0.0,0.0,2018.0,1.0
2018-01-01,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,257.0,184,0,,,11.22173913,1.193931159,,26,40.11666667,12.96,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",26,7.510507246,12,3,59.09090909,22.72727273,4.545454545,9.090909091,4.545454545,0.0,2018.0,1.0
2018-01-01,National,VANNES,PARIS MONTPARNASSE,156.0,278,1,,168,5.120436508,3.131046931,,37,,6.264019254,,25,6.241486811,11,3,24.13793103,44.82758621,20.68965517,3.448,3.448275862,3.448275862,2018.0,1.0
2018-01-01,National,REIMS,PARIS EST,46.0,230,1,,93,,3.107569141,,62,12.81747312,3.538937409,,20,3.538937409,3,0,17.94871795,41.02564103,20.51282051,5.128205128,0.0,15.38461538,2018.0,1.0
2018-01-01,National,DOUAI,PARIS NORD,77.0,197,3,,39,8.032905983,1.802920962,,37,21.4009009,5.046907216,,10,5.046907216,5,3,36.36363636,18.18181818,22.72727273,18.18181818,4.545454545,0.0,2018.0,1.0
